course_id,Course_Title,Course_URL,Platform,Language,Description,Skill,Level,Price_Model,monthly_price,Programming Instructor,Last Update,offering_type,Duration_Hours,Review_Count,Avg_Rating,enrolled_students,Best_Category
nd101,Deep Learning,https://www.udacity.com/course/deep-learning--nd101,Udacity,en-us,"Build foundational skills in deep learning by designing and training neural networks to solve complex real-world problems. You’ll begin with the essentials of neural networks, advancing to specialized architectures like Convolutional and Recurrent Neural Networks, along with  Transformers, Generative Adversarial Networks and Diffusion Models. Through projects, create models for applications such as image classification, Q&A, and CAPTCHA image generation, gaining hands-on experience with PyTorch and advanced training techniques. Ideal for those aiming to harness the potential of deep learning, this experience prepares you to tackle AI challenges across various domains.","GAN Training Optimization, Generative adversarial networks, U-net, Generative AI Fluency, Implementing GAN Training Optimization, Implementing Diffusion Model Sampling, Implementing Generator Networks, Deep Convolutional GAN Architecture, Latent Space Concepts, Implementing Diffusion Models, Implementing Discriminator Networks, Conditional Image Generation, Adversarial Training Concepts, GenAI Architectures, Implementing Deep Convolutional GANs, Diffusion Models, Implementing GAN Training, Implementing Conditional GANs, Recurrent neural networks, Implementing Word Embeddings, Transformer neural networks, Word embeddings, Implementing Attention Mechanisms, Generative AI Evaluation, Implementing Recurrent Neural Networks, Hugging Face, Implementing Sequence-to-Sequence Models, Generative AI Evaluation Implementation, Sequential text analysis, Sequence-to-Sequence Models, NLP models, Implementing Tokenization, Attention mechanisms, Tokenization, Implementing Transformer Fine-Tuning, Implementing Data Augmentation Pipelines, Implementing Neural Style Transfer, Computer vision fluency, Data augmentation, Semantic image segmentation, Implementing Object Detection, Convolutional kernels, Convolutional Layer Configuration, Deep learning techniques, Convolutional neural networks, Implementing Convolutional Layers, Implementing Convolutional Autoencoders, Autoencoders, Implementing CNN Pooling Layers, CNN Architecture Evolution, CNN Pooling Concepts, Transfer learning, Implementing Advanced CNN Training, Implementing Image Segmentation, Feature visualization, Implementing Convolutional Neural Networks, Object detection, Implementing CNN Transfer Learning, Neural network basics, Backpropagation, Implementing Feedforward Neural Networks, Deep learning model optimization, Model evaluation, Deep learning fluency, Implementing Neural Network Forward Propagation, Deep learning models, Data pre-processing for ML, Hyperparameter tuning, Neural network activation, Neural network mechanics, Model performance metrics, Deep Learning Model Diagnostics, Perceptron, Neural Network Loss Function Concepts, Implementing Neural Network Activation Functions, Implementing Deep Learning Data Pipelines, Feedforward neural networks, Training neural networks, Implementing Deep Learning Model Diagnostics, Implementing Neural Network Loss Functions, Deep learning",Intermediate,Subscription,12700,"Samantha Guerriero, Antje Muntzinger, Sohbet Dovranov, Temi Afeye",2026-03-25 15:48:04.852000+00:00,Nanodegree,50 hours,985,4.7,46493,Artificial Intelligence
nd003,iOS Development with SwiftUI and SwiftData,https://www.udacity.com/course/ios-developer-nanodegree--nd003,Udacity,en-us,"Become skilled in developing high-quality iOS apps. This comprehensive Nanodegree program teaches Swift proficiency, UI design, data management, data integration, and project planning so you can take apps from idea to reality.","iOS Development, HTTP, Credential management, Application authentication, Network requests in swift, Authentication, Swift data persistence, Swift classes, Data binding, Application state management, Data modeling basics, Mobile data management, iOS Core Data, iOS View Hierarchy, iOS Tab Navigation, iOS Animations, Xcode ide basics, iOS Stack Navigation, iOS UI Development, Uiviews, iOS Affordances, Ui design, iOS SplitView Navigation, iOS Gestures, Swift closures, Swift sets, Swift Generics, Swift enums, Swift functions, Control flow, Swift properties, Basic swift, Swift class extensions, Swift data types, Swift inheritance, Swift structs, String manipulation in swift, Swift operators, Swift arrays, Swift methods, Swift Tuples, Swift protocols, Boolean expressions, Swift Error Handling, Swift constants, Swift dictionaries, Swift optionals, Swift collections, Swift syntax, Swift grand central dispatch, Swift file management, Swift NSUserDefaults, Avfoundation framework, Code debugging, Swift and objective-c interoperability, JSON, Swift ibactions, Model-view-controller, Swift queues, Firebase, Uiimagepickercontroller, Https, Swift iboutlets, Swift autolayout, Secure network requests, Code refactoring, Git, Uikit classes, Apple app transport security protocol, Uitableview",Intermediate,Subscription,12700,Valerie Scarlata,2025-12-14 15:37:07.428000+00:00,Nanodegree,76 hours,253,4.6,8974,Mobile Development
nd025,Data Scientist,https://www.udacity.com/course/data-scientist-nanodegree--nd025,Udacity,en-us,"This advanced Nanodegree prepares you to tackle data science at scale. Work with AI best practices, build production-ready projects, and gain the confidence to lead data-driven solutions.","Blog posts, Magic methods, Unit testing, Data storytelling, CRISP-DM, AI algorithms in Python, Github portfolios, Similarity Score, Principal component analysis, Dimensionality reduction, Types of recommenders, Cluster validation, K-means clustering, Recommender system limitations, Basic unsupervised learning, Feature visualization, Recommendation engines, Matrix factorization, Hierarchical clustering models, Latent variables, Actionable insight generation, Evaluating unsupervised learning models, Business metrics, PyTorch, Tokenization, Convolutional neural networks, NLP pipelines, Stemming, Machine learning pipeline creation, NLP models, Part of speech tagging, Model cross-validation, Support vector machines, Data pre-processing for ML, Lemmatization, Feature extraction, Image pre-processing, Opencv, Computer vision fluency, Hyperparameter tuning, Python virtual environments, Model deployment, Inheritance, Github actions, Object-oriented design patterns, Python package management, Web forms, Object-oriented Python, Python packaging, Python decorator functions, Linting, Python classes, Feature importance calculation, Model bias analysis, Gradient descent, Random forest models, Tree-based models, scikit-learn, Model evaluation, Neural network basics, Basic supervised machine learning",Advanced,Subscription,12700,"David Elliott, Antje Muntzinger, Nathan Klarer, Joshua Bernhard, Jo-L Collins, Victor Geislinger, Matt Maybeno",2026-03-10 13:22:41.915000+00:00,Nanodegree,61 hours,813,4.8,34257,Machine Learning
nd900,Agentic AI,https://www.udacity.com/course/agentic-ai--nd900,Udacity,en-us,"Go beyond single chatbots to engineer sophisticated, coordinated teams of AI agents. This Nanodegree guides you from advanced prompting techniques like Chain-of-Thought and ReAct to designing agentic workflows with patterns like Routing and Parallelization. You'll master building and orchestrating agents in Python that can reason, plan, and use tools to interact with databases and external APIs. Build a powerful portfolio by tackling hands-on projects, including a multi-agent travel planner, an AI-powered project manager, and a fully automated sales system, to solve real-world problems.","Multi-Agent System Design, Multi-Agent State Management Concepts, Multi-Agent Systems, Multi-Agent State Coordination Concepts, Implementing Multi-Agent Architectures, Implementing Multi-Agent State Management, Multi-Agent Implementation, Implementing Multi-Agent Orchestration, Implementing Multi-Agent State Coordination, Multi-Agent Agent Orchestration Concepts, Implementing Multi-Agent Routing, Implementing Multi-Agent RAG, Multi-Agent Routing Concepts, Multi-Agent RAG Concepts, Implementing API Integration for Agents, Implementing Single-agent RAG, Implementing AI Agent Evaluation, State Management for AI Agents, API Integration for Agents, Implementing Long-term Memory Management for AI Agents, Agent Tool Use, Database Interaction for AI Agents, Long-term Memory Management for AI Agents, Implementing Agent Memory, Implementing State Management for AI Agents, Agent Memory Design, Implementing Agent Tool Use, Web Search Integration & Data Retrieval for AI Agents, Evaluating AI Agents, Implementing Database Interaction for AI Agents, Implementing LLM Structured Outputs, Single-Agent Retrieval Augmented Generation, Implementing Web Search Integration and Data Retrieval for AI Agents, LLM Structured Outputs, Agentic Task Routing Design, Implementing Agentic Workflows, Implementing Agent Orchestration, Agentic Iterative Refinement Workflow Design, Agentic Workflow Design & Visualization, Implementing Parallel Agent Workflows, Implementing Sequential Task Prompt Chain Workflows, Agentic Task Routing, Agent Orchestration Design, Sequential Task Decomposition for Prompt Chaining, Implementing Reflective AI Workflows, Agentic Parallel Workflow Design, Iterative Prompt Development, Implementing Role-Based Prompting, Feedback Loop Design, Persona-Based Prompt Design, Implementing Prompt Chains, Systematic Prompt Refinement, CoT and ReAct, Agentic Reasoning Frameworks, Prompt Chain Design, Implementing Feedback Loops",Intermediate,Subscription,12700,"Brian Cruz, Peter Kowalchuk, Henrique Santana, Joshua Bernhard, Christopher Agostino",2026-05-04 11:05:58.834000+00:00,Nanodegree,53 hours,413,4.8,14286,Artificial Intelligence
nd608,Generative AI,https://www.udacity.com/course/generative-ai--nd608,Udacity,en-us,"Ready to build production-grade AI? This program equips developers to deploy reliable generative AI solutions. We'll move past theory and focus on the proven implementation patterns you need. You'll master production essentials like model selection, cost estimation, and reliable prompt engineering to build efficient apps. You'll also implement lightweight model adaptation using PEFT. Then, you'll build end-to-end RAG systems, using vector databases to connect LLMs to your data and evaluate quality with frameworks like RAGAs. Finally, you'll dive into advanced multimodal applications that process text, images, and audio. You'll enforce structured outputs with Pydantic and implement system observability to build, trace, and debug modern AI apps.","Image pre-processing, Word embeddings, Ethical AI, AI Audio and Speech Analysis, Yolo algorithm, Model evaluation, Text generation, Computer vision fluency, Image classification, Large Language Models, Image generation, Image segmentation, Computer Vision Transformers, Diffusion Models, Gemini API, Tokenization, Multimodal AI Implementation, Retrieval-Augmented Generation, LLM Analysis and Capabilities, Prompt Engineering, Foundation Model Concepts, Generative AI Fluency, Generative AI Evaluation Implementation, Ethical AI Awareness, Generative AI Evaluation, Basic PyTorch, Foundation Models, Neural network basics, Deep learning, Prompt Engineering for Classification, Model Adaptation, Applying Generative AI to Use Cases, Generative AI Awareness, Reinforcement Fine-Tuning using GRPO, Data cleaning, Attention mechanisms, Natural language processing, API requests, Recurrent neural networks, Data quality assessment, OpenAI API, Bert, Beautifulsoup, Together AI API, Pandas, Data scraping, Transformer neural networks, Cosine, GPT, Selenium, PyTorch, Search implementation in Python, NLP transformers",Intermediate,Subscription,12700,"Brian Cruz, Eduardo Mota, Giacomo Vianello",2026-05-06 18:32:31.983000+00:00,Nanodegree,56 hours,184,4.9,3720,Artificial Intelligence
nd019,React,https://www.udacity.com/course/react-nanodegree--nd019,Udacity,en-us,"React is completely transforming the front-end development landscape. Master this powerful UI library and gain career-ready skills by moving from foundational components to professional-grade architecture. You’ll begin by building declarative web user interfaces, mastering JSX, props, and functional state management.
As you progress, you’ll dive into intermediate patterns for building resilient, scalable applications. This includes implementing seamless navigation with client-side routing, optimizing performance, and handling complex data fetching to ensure your apps remain responsive and reliable. Finally, you’ll learn to manage application state more predictably using industry-standard patterns and ensure your code is production-ready through comprehensive testing and debugging.","React component state, Basic React Routing, Application state management with redux, React design patterns, Jest, React-redux bindings, Fetching data, React hooks, Basic React, Create react app, Software testing, Automation testing, Redux middleware, Integration testing, Behavioral software testing, Redux-thunk, Functional testing, Web forms, Asynchronous redux, Futures and promises, Data lifecycle management, Test-driven development, Application development best practices, Unit testing, JavaScript composition, Jsx, Expo, React native asyncstorage, React native storage, React native, React native development environment, Code debugging, React native interactive features, React native basics, React native os APIs, Redux toolkit, React native forms, React native components, React native navigation, Flexbox, React native stylesheet API, React native features, Css-in-js, React native styling, Application architecture, Implementing Advanced React Query Patterns, Implementing Resilience and Feedback, Implementing Protected Routes, Global State Persistence, App Resilience and Feedback, Advanced React Query Patterns, Component Systems, Deploying Mobile Apps, Implementing Global State Persistence, Mobile State Management, Implementing React Query, Protected Routes, Implementing Complex Local State, Implementing Performance Optimizations, Implementing Client-side Authentication, Implementing Component Systems, Advanced React Routing, Mobile App Testing Strategies, React Architecture, Client-side Authentication Basics, React Query Basics, Implementing Data Mutations, Complex Local State, React Performance Tuning, Implementing Advanced React Routing, Implementing Mobile App Testing, Data Mutations",Intermediate,Subscription,12700,"Tyler McGinnis, Alyssa Hope, Michael Tsamis, Andrew Wong, Richard Kalehoff",2026-04-28 18:24:29.765000+00:00,Nanodegree,61 hours,570,4.7,23516,Mobile Development
nd0011,Front End Web Developer,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Udacity,en-us,"Launch your career in front-end development with this Nanodegree. Build professional web pages, optimize performance, and create interactive experiences using JavaScript, CSS, and modern web tools.","Flexbox, Dom events, DOM manipulation, The document object model, Code debugging, HTML, Responsive web design, Control flow in JavaScript, The JavaScript call stack, JavaScript syntax, JavaScript variables, CSS, Ides, Website layout, JavaScript package management, Eslint, Webpack, Prettier, Jest, Java modules, Integration testing, Unit testing, Website performance optimization, HTML and CSS",Intermediate,Subscription,12700,"Eric Kovalevskyy, Darshana Sen, Ixius Procopios, Mark Gardner",2025-10-18 00:08:10.178000+00:00,Nanodegree,39 hours,865,4.6,22047,Web Development
nd213,C++,https://www.udacity.com/course/c-plus-plus-nanodegre--nd213,Udacity,en-us,"Learn C++, a high-performance programming language used in the world's most exciting engineering jobs -- from self-driving cars and robotics to web browsers, media platforms, servers, and video games.","Concurrent computing, Computer memory architecture, Dynamic memory allocation, C++ copy and move semantics, Heap memory, C++ polymorphism, A* Search Algorithm, C++ syntax, C++ data structures, Futures and promises, Message queues, Parallel computing, Data races, Memory management in c++, R-values, Smart pointers, Buffer overruns, Memory-efficient programming, Call-by-value, Rule of three, Memory leaks, L-values, Code debugging, Segmentation fault, Automatic memory allocation, Hexadecimal numbers, Variable scope, Call-by-reference, Rule of five, Memory fragmentation, Stack memory, Ownership in memory management, Uninitialized memory bugs, Call stacks, Raii, Access specifiers, Encapsulation, C++ file handling, C++ constants, Software project organization, C++ user input, C++ header files, Cmake, C++ pointers, C++ data types, Threading, Virtual memory, C++ inheritance, C++ standard library, Classes in programming, Errors and exceptions, Resource leaks, Intermediate object-oriented programming, Generic programming, C++ classes, Control flow, C++ control flow, C++ functions, Inheritance",Intermediate,Subscription,12700,"Ishan Gosain, Kedar Kodgire, Aspen Olmsted, Andrew Sanford",2026-01-19 16:34:29.500000+00:00,Nanodegree,42 hours,811,4.6,38128,Programming
nd9991,Cloud DevOps Engineer,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,Udacity,en-us,"In this program, you’ll develop the skills you need to join the rapidly growing cloud devops field.","Logging, Github actions, Deployment automation, Continuous integration, Continuous deployment, CI/CD, Build automation, Serverless development, Kubernetes, Cloud observability, Amazon ECR, Amazon CloudWatch, AWS lambda, Serverless cloud computing architecture, Docker, AWS networking services, Cloud computing business context, Cloud security in AWS, AWS compute services, Vpc, AWS cloudformation, AWS database services, Amazon s3, Cloud load balancing, Cloud autoscaling, Amazon rds, Amazon elastic compute cloud, Identity and access management fundamentals, Amazon simple notification service, Amazon vpc, AWS IAM, Amazon web services basics, AWS cli, AWS elastic beanstalk, Iam policies, Cloud computing fluency, Amazon DynamoDB, Computer networking basics, Cloud deployment models, Iam users",Intermediate,Subscription,12700,"Justin Lee, Byron Sommardahl, Kesha Williams, Carlos Rivas",2026-03-27 14:02:14.964000+00:00,Nanodegree,53 hours,468,4.6,14087,DevOps
nd256,Data Structures and Algorithms,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256,Udacity,en-us,"Sharpen your problem-solving skills in this Nanodegree program. Practice over 100 algorithm and data structure challenges, learn Python-based techniques, and prepare for interviews with mentor guidance and real coding scenarios.","Basic algorithms, Tree search, Sorting algorithms, Basic Python, Graph algorithms, Depth-first search, Graph data structure, A* Search Algorithm, Breadth-first search, Greedy algorithms, Dynamic programming, Divide and conquer algorithms, Tree algorithms, Recursive algorithms, Python trees, Python arrays, Data structures, Hash maps",Intermediate,Subscription,12700,"Kyle Stewart-Franz, Abe Feinberg, Brynn Claypoole",2026-04-05 11:18:54.667000+00:00,Nanodegree,47 hours,530,4.7,18323,Data Science
nd0044,Backend Developer with Python,https://www.udacity.com/course/backend-developer-with-python--nd0044,Udacity,en-us,"Build real-world web applications from scratch. This Nanodegree teaches full stack development using Flask, SQL, and Docker with a focus on APIs, security, and deployment skills.","SQLAlchemy, Flask, HTTP, Application authentication, Application security basics, Application authorization, Cors, API fluency, Object-relational mapping, Relational database transactions, Parsing form data, Jwts, Auth0, API testing, Unittest, PostgreSQL, Relational database migration, Psycopg2, Database query sanitization, Role-Based Access Control, Data security fundamentals, Salt, Code reviews, Postman, Data encryption, Integration testing, Curl, API documentation, Model-view-controller, Tcp/ip, Client-server model, Crud model, Alembic, Application routing, Git, API development",Intermediate,Subscription,12700,"Kennedy Behrman, Gabriel Ruttner, Caryn McCarthy, Amy Hua",2026-03-18 15:00:08.574000+00:00,Nanodegree,49 hours,503,4.6,11323,Web Development
